iso_code3,year,frac_ippu_cement_clinker
BHS,2023,0.72
BHS,2024,0.72
BHS,2025,0.72
BHS,2026,0.72
BHS,2027,0.72
BHS,2028,0.72
BHS,2029,0.72
BHS,2030,0.72
BHS,2031,0.72
BHS,2032,0.72
BHS,2033,0.72
BHS,2034,0.72
BHS,2035,0.72
BHS,2036,0.72
BHS,2037,0.72
BHS,2038,0.72
BHS,2039,0.72
BHS,2040,0.72
BHS,2041,0.72
BHS,2042,0.72
BHS,2043,0.72
BHS,2044,0.72
BHS,2045,0.72
BHS,2046,0.72
BHS,2047,0.72
BHS,2048,0.72
BHS,2049,0.72
BHS,2050,0.72
BIH,2010,0.72
BIH,2011,0.72
BIH,2012,0.72
BIH,2013,0.72
BIH,2014,0.72
BIH,2015,0.72
BIH,2016,0.72
BIH,2017,0.72
BIH,2018,0.72
BIH,2019,0.72
BIH,2020,0.72
BIH,2021,0.72
BIH,2022,0.72
BIH,2023,0.72
BIH,2024,0.72
BIH,2025,0.72
BIH,2026,0.72
BIH,2027,0.72
BIH,2028,0.72
BIH,2029,0.72
BIH,2030,0.72
BIH,2031,0.72
BIH,2032,0.72
BIH,2033,0.72
BIH,2034,0.72
BIH,2035,0.72
BIH,2036,0.72
BIH,2037,0.72
BIH,2038,0.72
BIH,2039,0.72
BIH,2040,0.72
BIH,2041,0.72
BIH,2042,0.72
BIH,2043,0.72
BIH,2044,0.72
BIH,2045,0.72
BIH,2046,0.72
BIH,2047,0.72
BIH,2048,0.72
BIH,2049,0.72
BIH,2050,0.72
BLR,2010,0.72
BLR,2011,0.72
BLR,2012,0.72
BLR,2013,0.72
BLR,2014,0.72
BLR,2015,0.72
BLR,2016,0.72
BLR,2017,0.72
BLR,2018,0.72
BLR,2019,0.72
BLR,2020,0.72
BLR,2021,0.72
BLR,2022,0.72
BLR,2023,0.72
BLR,2024,0.72
BLR,2025,0.72
BLR,2026,0.72
BLR,2027,0.72
BLR,2028,0.72
BLR,2029,0.72
BLR,2030,0.72
BLR,2031,0.72
BLR,2032,0.72
BLR,2033,0.72
BLR,2034,0.72
BLR,2035,0.72
BLR,2036,0.72
BLR,2037,0.72
BLR,2038,0.72
BLR,2039,0.72
BLR,2040,0.72
BLR,2041,0.72
BLR,2042,0.72
BLR,2043,0.72
BLR,2044,0.72
BLR,2045,0.72
BLR,2046,0.72
BLR,2047,0.72
BLR,2048,0.72
BLR,2049,0.72
BLR,2050,0.72
BLZ,2010,0.72
BLZ,2011,0.72
BLZ,2012,0.72
BLZ,2013,0.72
BLZ,2014,0.72
BLZ,2015,0.72
BLZ,2016,0.72
BLZ,2017,0.72
BLZ,2018,0.72
BLZ,2019,0.72
BLZ,2020,0.72
BLZ,2021,0.72
BLZ,2022,0.72
BLZ,2023,0.72
BLZ,2024,0.72
BLZ,2025,0.72
BLZ,2026,0.72
BLZ,2027,0.72
BLZ,2028,0.72
BLZ,2029,0.72
BLZ,2030,0.72
BLZ,2031,0.72
BLZ,2032,0.72
BLZ,2033,0.72
BLZ,2034,0.72
BLZ,2035,0.72
BLZ,2036,0.72
BLZ,2037,0.72
BLZ,2038,0.72
BLZ,2039,0.72
BLZ,2040,0.72
BLZ,2041,0.72
BLZ,2042,0.72
BLZ,2043,0.72
BLZ,2044,0.72
BLZ,2045,0.72
BLZ,2046,0.72
BLZ,2047,0.72
BLZ,2048,0.72
BLZ,2049,0.72
BLZ,2050,0.72
BOL,2010,0.7
BOL,2011,0.7
BOL,2012,0.7
BOL,2013,0.7
BOL,2014,0.7
BOL,2015,0.7
BOL,2016,0.7
BOL,2017,0.7
BOL,2018,0.7
BOL,2019,0.7
BOL,2020,0.7
BOL,2021,0.7
BOL,2022,0.7
BOL,2023,0.7
BOL,2024,0.7
BOL,2025,0.7
BOL,2026,0.7
BOL,2027,0.7
BOL,2028,0.7
BOL,2029,0.7
BOL,2030,0.7
BOL,2031,0.7
BOL,2032,0.7
BOL,2033,0.7
BOL,2034,0.7
BOL,2035,0.7
BOL,2036,0.7
BOL,2037,0.7
BOL,2038,0.7
BOL,2039,0.7
BOL,2040,0.7
BOL,2041,0.7
BOL,2042,0.7
BOL,2043,0.7
BOL,2044,0.7
BOL,2045,0.7
BOL,2046,0.7
BOL,2047,0.7
BOL,2048,0.7
BOL,2049,0.7
BOL,2050,0.7
BRA,2010,0.685
BRA,2011,0.685
BRA,2012,0.685
BRA,2013,0.685
BRA,2014,0.685
BRA,2015,0.685
BRA,2016,0.685
BRA,2017,0.685
BRA,2018,0.685
BRA,2019,0.685
BRA,2020,0.685
BRA,2021,0.685
BRA,2022,0.685
BRA,2023,0.685
BRA,2024,0.685
BRA,2025,0.685
BRA,2026,0.685
BRA,2027,0.685
BRA,2028,0.685
BRA,2029,0.685
BRA,2030,0.685
BRA,2031,0.685
BRA,2032,0.685
BRA,2033,0.685
BRA,2034,0.685
BRA,2035,0.685
BRA,2036,0.685
BRA,2037,0.685
BRA,2038,0.685
BRA,2039,0.685
BRA,2040,0.685
BRA,2041,0.685
BRA,2042,0.685
BRA,2043,0.685
BRA,2044,0.685
BRA,2045,0.685
BRA,2046,0.685
BRA,2047,0.685
BRA,2048,0.685
BRA,2049,0.685
BRA,2050,0.685
BRB,2010,0.72
BRB,2011,0.72
BRB,2012,0.72
BRB,2013,0.72
BRB,2014,0.72
BRB,2015,0.72
BRB,2016,0.72
BRB,2017,0.72
BRB,2018,0.72
BRB,2019,0.72
BRB,2020,0.72
BRB,2021,0.72
BRB,2022,0.72
BRB,2023,0.72
BRB,2024,0.72
BRB,2025,0.72
BRB,2026,0.72
BRB,2027,0.72
BRB,2028,0.72
BRB,2029,0.72
BRB,2030,0.72
BRB,2031,0.72
BRB,2032,0.72
BRB,2033,0.72
BRB,2034,0.72
BRB,2035,0.72
BRB,2036,0.72
BRB,2037,0.72
BRB,2038,0.72
BRB,2039,0.72
BRB,2040,0.72
BRB,2041,0.72
BRB,2042,0.72
BRB,2043,0.72
BRB,2044,0.72
BRB,2045,0.72
BRB,2046,0.72
BRB,2047,0.72
BRB,2048,0.72
BRB,2049,0.72
BRB,2050,0.72
BRN,2010,0.72
BRN,2011,0.72
BRN,2012,0.72
BRN,2013,0.72
BRN,2014,0.72
BRN,2015,0.72
BRN,2016,0.72
BRN,2017,0.72
BRN,2018,0.72
BRN,2019,0.72
BRN,2020,0.72
BRN,2021,0.72
BRN,2022,0.72
BRN,2023,0.72
BRN,2024,0.72
BRN,2025,0.72
BRN,2026,0.72
BRN,2027,0.72
BRN,2028,0.72
BRN,2029,0.72
BRN,2030,0.72
BRN,2031,0.72
BRN,2032,0.72
BRN,2033,0.72
BRN,2034,0.72
BRN,2035,0.72
BRN,2036,0.72
BRN,2037,0.72
BRN,2038,0.72
BRN,2039,0.72
BRN,2040,0.72
BRN,2041,0.72
BRN,2042,0.72
BRN,2043,0.72
BRN,2044,0.72
BRN,2045,0.72
BRN,2046,0.72
BRN,2047,0.72
BRN,2048,0.72
BRN,2049,0.72
BRN,2050,0.72
BTN,2010,0.72
BTN,2011,0.72
BTN,2012,0.72
BTN,2013,0.72
BTN,2014,0.72
BTN,2015,0.72
BTN,2016,0.72
BTN,2017,0.72
BTN,2018,0.72
BTN,2019,0.72
BTN,2020,0.72
BTN,2021,0.72
BTN,2022,0.72
BTN,2023,0.72
BTN,2024,0.72
BTN,2025,0.72
BTN,2026,0.72
BTN,2027,0.72
BTN,2028,0.72
BTN,2029,0.72
BTN,2030,0.72
BTN,2031,0.72
BTN,2032,0.72
BTN,2033,0.72
BTN,2034,0.72
BTN,2035,0.72
BTN,2036,0.72
BTN,2037,0.72
BTN,2038,0.72
BTN,2039,0.72
BTN,2040,0.72
BTN,2041,0.72
BTN,2042,0.72
BTN,2043,0.72
BTN,2044,0.72
BTN,2045,0.72
BTN,2046,0.72
BTN,2047,0.72
BTN,2048,0.72
BTN,2049,0.72
BTN,2050,0.72
BWA,2010,0.72
BWA,2011,0.72
BWA,2012,0.72
BWA,2013,0.72
BWA,2014,0.72
BWA,2015,0.72
BWA,2016,0.72
BWA,2017,0.72
BWA,2018,0.72
BWA,2019,0.72
BWA,2020,0.72
BWA,2021,0.72
BWA,2022,0.72
BWA,2023,0.72
BWA,2024,0.72
BWA,2025,0.72
BWA,2026,0.72
BWA,2027,0.72
BWA,2028,0.72
BWA,2029,0.72
BWA,2030,0.72
BWA,2031,0.72
BWA,2032,0.72
BWA,2033,0.72
BWA,2034,0.72
BWA,2035,0.72
BWA,2036,0.72
BWA,2037,0.72
BWA,2038,0.72
BWA,2039,0.72
BWA,2040,0.72
BWA,2041,0.72
BWA,2042,0.72
BWA,2043,0.72
BWA,2044,0.72
BWA,2045,0.72
BWA,2046,0.72
BWA,2047,0.72
BWA,2048,0.72
BWA,2049,0.72
BWA,2050,0.72
CAF,2010,0.72
CAF,2011,0.72
CAF,2012,0.72
CAF,2013,0.72
CAF,2014,0.72
CAF,2015,0.72
CAF,2016,0.72
CAF,2017,0.72
CAF,2018,0.72
CAF,2019,0.72
CAF,2020,0.72
CAF,2021,0.72
CAF,2022,0.72
CAF,2023,0.72
CAF,2024,0.72
CAF,2025,0.72
CAF,2026,0.72
CAF,2027,0.72
CAF,2028,0.72
CAF,2029,0.72
CAF,2030,0.72
CAF,2031,0.72
CAF,2032,0.72
CAF,2033,0.72
CAF,2034,0.72
CAF,2035,0.72
CAF,2036,0.72
CAF,2037,0.72
CAF,2038,0.72
CAF,2039,0.72
CAF,2040,0.72
CAF,2041,0.72
CAF,2042,0.72
CAF,2043,0.72
CAF,2044,0.72
CAF,2045,0.72
CAF,2046,0.72
CAF,2047,0.72
CAF,2048,0.72
CAF,2049,0.72
CAF,2050,0.72
CAN,2010,0.72
CAN,2011,0.72
CAN,2012,0.72
CAN,2013,0.72
CAN,2014,0.72
CAN,2015,0.72
CAN,2016,0.72
CAN,2017,0.72
CAN,2018,0.72
CAN,2019,0.72
CAN,2020,0.72
CAN,2021,0.72
CAN,2022,0.72
CAN,2023,0.72
CAN,2024,0.72
CAN,2025,0.72
CAN,2026,0.72
CAN,2027,0.72
CAN,2028,0.72
CAN,2029,0.72
CAN,2030,0.72
CAN,2031,0.72
CAN,2032,0.72
CAN,2033,0.72
CAN,2034,0.72
CAN,2035,0.72
CAN,2036,0.72
CAN,2037,0.72
CAN,2038,0.72
CAN,2039,0.72
CAN,2040,0.72
CAN,2041,0.72
CAN,2042,0.72
CAN,2043,0.72
CAN,2044,0.72
CAN,2045,0.72
CAN,2046,0.72
CAN,2047,0.72
CAN,2048,0.72
CAN,2049,0.72
CAN,2050,0.72
CHE,2010,0.72
CHE,2011,0.72
CHE,2012,0.72
CHE,2013,0.72
CHE,2014,0.72
CHE,2015,0.72
CHE,2016,0.72
CHE,2017,0.72
CHE,2018,0.72
CHE,2019,0.72
CHE,2020,0.72
CHE,2021,0.72
CHE,2022,0.72
CHE,2023,0.72
CHE,2024,0.72
CHE,2025,0.72
CHE,2026,0.72
CHE,2027,0.72
CHE,2028,0.72
CHE,2029,0.72
CHE,2030,0.72
CHE,2031,0.72
CHE,2032,0.72
CHE,2033,0.72
CHE,2034,0.72
CHE,2035,0.72
CHE,2036,0.72
CHE,2037,0.72
CHE,2038,0.72
CHE,2039,0.72
CHE,2040,0.72
CHE,2041,0.72
CHE,2042,0.72
CHE,2043,0.72
CHE,2044,0.72
CHE,2045,0.72
CHE,2046,0.72
CHE,2047,0.72
CHE,2048,0.72
CHE,2049,0.72
CHE,2050,0.72
CHL,2010,0.7
CHL,2011,0.7
CHL,2012,0.7
CHL,2013,0.7
CHL,2014,0.7
CHL,2015,0.7
CHL,2016,0.7
CHL,2017,0.7
CHL,2018,0.7
CHL,2019,0.7
CHL,2020,0.7
CHL,2021,0.7
CHL,2022,0.7
CHL,2023,0.7
CHL,2024,0.7
CHL,2025,0.7
CHL,2026,0.7
CHL,2027,0.7
CHL,2028,0.7
CHL,2029,0.7
CHL,2030,0.7
CHL,2031,0.7
CHL,2032,0.7
CHL,2033,0.7
CHL,2034,0.7
CHL,2035,0.7
CHL,2036,0.7
CHL,2037,0.7
CHL,2038,0.7
CHL,2039,0.7
CHL,2040,0.7
CHL,2041,0.7
CHL,2042,0.7
CHL,2043,0.7
CHL,2044,0.7
CHL,2045,0.7
CHL,2046,0.7
CHL,2047,0.7
CHL,2048,0.7
CHL,2049,0.7
CHL,2050,0.7
CHN,2010,0.72
CHN,2011,0.72
CHN,2012,0.72
CHN,2013,0.72
CHN,2014,0.72
CHN,2015,0.72
CHN,2016,0.72
CHN,2017,0.72
CHN,2018,0.72
CHN,2019,0.72
CHN,2020,0.72
CHN,2021,0.72
CHN,2022,0.72
CHN,2023,0.72
CHN,2024,0.72
CHN,2025,0.72
CHN,2026,0.72
CHN,2027,0.72
CHN,2028,0.72
CHN,2029,0.72
CHN,2030,0.72
CHN,2031,0.72
CHN,2032,0.72
CHN,2033,0.72
CHN,2034,0.72
CHN,2035,0.72
CHN,2036,0.72
CHN,2037,0.72
CHN,2038,0.72
CHN,2039,0.72
