year,iso_code3,prodinit_ippu_cement_tonne,prodinit_ippu_chemicals_tonne,prodinit_ippu_electronics_tonne,prodinit_ippu_glass_tonne,prodinit_ippu_lime_and_carbonite_tonne,prodinit_ippu_metals_tonne,prodinit_ippu_mining_tonne,prodinit_ippu_paper_tonne,prodinit_ippu_plastic_tonne,prodinit_ippu_rubber_and_leather_tonne,prodinit_ippu_textiles_tonne
2015,MHL,10626.07957,71.5495163575477,405.458708160497,10.0615598906341,0.0,15276.0393731789,14237.634613274,1069.73106061459,547.616155287313,16.1501843136823,205.306670785706
2016,MHL,43429.89563,624.292842662055,2018.19758288305,24.0232638412527,0.0,40797.5637086844,38776.9239164303,775.790793516349,2828.35877827649,15.7046843977861,218.671968708296
2017,MHL,49419.70528,1246.90003839232,8935.46244588367,41.3192592483955,0.0,27237.0812791934,17332.7326920785,935.855087670424,6606.70027879984,21.4684818087208,197.989620518789
2018,MHL,57280.65394,831.851364644122,1041.45823615813,14.5590637953492,0.0,18855.7483183812,3018.54325192803,870.574896656552,6966.25254639756,27.8763813084768,256.572676475378
2019,MHL,19748.73473,1203.08654595863,3633.229012142,70.1636028030319,0.0,19709.0311636258,5805.34552006552,842.702281064666,2831.79573626142,47.1968065985741,152.054737452955
2020,MHL,48181.34643,469.800619668153,3548.19375099629,178.772870526465,0.0,74687.4512152967,4229.70300912015,881.69264797827,1275.16797179599,64.7960697843959,706.833069554127
2021,MHL,48181.34643,469.800619668153,3548.19375099629,178.772870526465,0.0,74687.4512152967,4229.70300912015,881.69264797827,1275.16797179599,64.7960697843959,706.833069554127
2022,MHL,48181.34643,469.800619668153,3548.19375099629,178.772870526465,0.0,74687.4512152967,4229.70300912015,881.69264797827,1275.16797179599,64.7960697843959,706.833069554127
2023,MHL,48181.34643,469.800619668153,3548.19375099629,178.772870526465,0.0,74687.4512152967,4229.70300912015,881.69264797827,1275.16797179599,64.7960697843959,706.833069554127
2024,MHL,48181.34643,469.800619668153,3548.19375099629,178.772870526465,0.0,74687.4512152967,4229.70300912015,881.69264797827,1275.16797179599,64.7960697843959,706.833069554127
2025,MHL,48181.34643,469.800619668153,3548.19375099629,178.772870526465,0.0,74687.4512152967,4229.70300912015,881.69264797827,1275.16797179599,64.7960697843959,706.833069554127
2026,MHL,48181.34643,469.800619668153,3548.19375099629,178.772870526465,0.0,74687.4512152967,4229.70300912015,881.69264797827,1275.16797179599,64.7960697843959,706.833069554127
2027,MHL,48181.34643,469.800619668153,3548.19375099629,178.772870526465,0.0,74687.4512152967,4229.70300912015,881.69264797827,1275.16797179599,64.7960697843959,706.833069554127
2028,MHL,48181.34643,469.800619668153,3548.19375099629,178.772870526465,0.0,74687.4512152967,4229.70300912015,881.69264797827,1275.16797179599,64.7960697843959,706.833069554127
2029,MHL,48181.34643,469.800619668153,3548.19375099629,178.772870526465,0.0,74687.4512152967,4229.70300912015,881.69264797827,1275.16797179599,64.7960697843959,706.833069554127
2030,MHL,48181.34643,469.800619668153,3548.19375099629,178.772870526465,0.0,74687.4512152967,4229.70300912015,881.69264797827,1275.16797179599,64.7960697843959,706.833069554127
2031,MHL,48181.34643,469.800619668153,3548.19375099629,178.772870526465,0.0,74687.4512152967,4229.70300912015,881.69264797827,1275.16797179599,64.7960697843959,706.833069554127
2032,MHL,48181.34643,469.800619668153,3548.19375099629,178.772870526465,0.0,74687.4512152967,4229.70300912015,881.69264797827,1275.16797179599,64.7960697843959,706.833069554127
2033,MHL,48181.34643,469.800619668153,3548.19375099629,178.772870526465,0.0,74687.4512152967,4229.70300912015,881.69264797827,1275.16797179599,64.7960697843959,706.833069554127
2034,MHL,48181.34643,469.800619668153,3548.19375099629,178.772870526465,0.0,74687.4512152967,4229.70300912015,881.69264797827,1275.16797179599,64.7960697843959,706.833069554127
2035,MHL,48181.34643,469.800619668153,3548.19375099629,178.772870526465,0.0,74687.4512152967,4229.70300912015,881.69264797827,1275.16797179599,64.7960697843959,706.833069554127
2036,MHL,48181.34643,469.800619668153,3548.19375099629,178.772870526465,0.0,74687.4512152967,4229.70300912015,881.69264797827,1275.16797179599,64.7960697843959,706.833069554127
2037,MHL,48181.34643,469.800619668153,3548.19375099629,178.772870526465,0.0,74687.4512152967,4229.70300912015,881.69264797827,1275.16797179599,64.7960697843959,706.833069554127
2038,MHL,48181.34643,469.800619668153,3548.19375099629,178.772870526465,0.0,74687.4512152967,4229.70300912015,881.69264797827,1275.16797179599,64.7960697843959,706.833069554127
2039,MHL,48181.34643,469.800619668153,3548.19375099629,178.772870526465,0.0,74687.4512152967,4229.70300912015,881.69264797827,1275.16797179599,64.7960697843959,706.833069554127
2040,MHL,48181.34643,469.800619668153,3548.19375099629,178.772870526465,0.0,74687.4512152967,4229.70300912015,881.69264797827,1275.16797179599,64.7960697843959,706.833069554127
2041,MHL,48181.34643,469.800619668153,3548.19375099629,178.772870526465,0.0,74687.4512152967,4229.70300912015,881.69264797827,1275.16797179599,64.7960697843959,706.833069554127
2042,MHL,48181.34643,469.800619668153,3548.19375099629,178.772870526465,0.0,74687.4512152967,4229.70300912015,881.69264797827,1275.16797179599,64.7960697843959,706.833069554127
2043,MHL,48181.34643,469.800619668153,3548.19375099629,178.772870526465,0.0,74687.4512152967,4229.70300912015,881.69264797827,1275.16797179599,64.7960697843959,706.833069554127
2044,MHL,48181.34643,469.800619668153,3548.19375099629,178.772870526465,0.0,74687.4512152967,4229.70300912015,881.69264797827,1275.16797179599,64.7960697843959,706.833069554127
2045,MHL,48181.34643,469.800619668153,3548.19375099629,178.772870526465,0.0,74687.4512152967,4229.70300912015,881.69264797827,1275.16797179599,64.7960697843959,706.833069554127
2046,MHL,48181.34643,469.800619668153,3548.19375099629,178.772870526465,0.0,74687.4512152967,4229.70300912015,881.69264797827,1275.16797179599,64.7960697843959,706.833069554127
2047,MHL,48181.34643,469.800619668153,3548.19375099629,178.772870526465,0.0,74687.4512152967,4229.70300912015,881.69264797827,1275.16797179599,64.7960697843959,706.833069554127
