r,f,l,val
antigua_and_barbuda,fuel_electricity,jun_aug_wd12,0.0500671529454434
antigua_and_barbuda,fuel_electricity,jun_aug_wd18,0.0477454607124294
antigua_and_barbuda,fuel_electricity,jun_aug_wd6,0.0455821592997834
antigua_and_barbuda,fuel_electricity,jun_aug_we0,0.0175026645282875
antigua_and_barbuda,fuel_electricity,jun_aug_we12,0.0190923877828762
antigua_and_barbuda,fuel_electricity,jun_aug_we18,0.0182070438833839
antigua_and_barbuda,fuel_electricity,jun_aug_we6,0.0173821000423293
antigua_and_barbuda,fuel_electricity,mar_may_wd0,0.0415038840147342
antigua_and_barbuda,fuel_electricity,mar_may_wd12,0.0452735780214575
antigua_and_barbuda,fuel_electricity,mar_may_wd18,0.0431741713592152
antigua_and_barbuda,fuel_electricity,mar_may_wd6,0.0412179907192639
antigua_and_barbuda,fuel_electricity,mar_may_we0,0.0158269084916469
antigua_and_barbuda,fuel_electricity,mar_may_we12,0.0172644270155696
antigua_and_barbuda,fuel_electricity,mar_may_we18,0.016463848517464
antigua_and_barbuda,fuel_electricity,mar_may_we6,0.0157178872004304
antigua_and_barbuda,fuel_electricity,sep_nov_wd0,0.0423436623042737
antigua_and_barbuda,fuel_electricity,sep_nov_wd12,0.0461896312732133
antigua_and_barbuda,fuel_electricity,sep_nov_wd18,0.0440477457881398
antigua_and_barbuda,fuel_electricity,sep_nov_wd6,0.0420519843216985
antigua_and_barbuda,fuel_electricity,sep_nov_we0,0.0161471458491216
antigua_and_barbuda,fuel_electricity,sep_nov_we12,0.0176137507314866
antigua_and_barbuda,fuel_electricity,sep_nov_we18,0.0167969735460114
antigua_and_barbuda,fuel_electricity,sep_nov_we6,0.0160359186507801
argentina,fuel_electricity,dec_feb_wd0,0.0462459112324079
argentina,fuel_electricity,dec_feb_wd12,0.0504463117141164
argentina,fuel_electricity,dec_feb_wd18,0.0481070372956471
argentina,fuel_electricity,dec_feb_wd6,0.0459273531919225
argentina,fuel_electricity,dec_feb_we0,0.0176352122834649
argentina,fuel_electricity,dec_feb_we12,0.0192369745192275
argentina,fuel_electricity,dec_feb_we18,0.0183449259065044
argentina,fuel_electricity,dec_feb_we6,0.0175137347621262
argentina,fuel_electricity,jun_aug_wd0,0.0462053423409079
argentina,fuel_electricity,jun_aug_wd12,0.0504020580516419
argentina,fuel_electricity,jun_aug_wd18,0.0480648357447549
argentina,fuel_electricity,jun_aug_wd6,0.045887063753162
argentina,fuel_electricity,jun_aug_we0,0.0176197419209044
argentina,fuel_electricity,jun_aug_we12,0.0192200990223185
argentina,fuel_electricity,jun_aug_we18,0.0183288329527958
argentina,fuel_electricity,jun_aug_we6,0.0174983709648436
argentina,fuel_electricity,mar_may_wd0,0.0419712934673046
argentina,fuel_electricity,mar_may_wd12,0.0457834411058715
argentina,fuel_electricity,mar_may_wd18,0.0436603912945115
argentina,fuel_electricity,mar_may_wd6,0.0416821804917512
argentina,fuel_electricity,mar_may_we0,0.016005148355447
argentina,fuel_electricity,mar_may_we12,0.017458855960519
argentina,fuel_electricity,mar_may_we18,0.016649261487971
argentina,fuel_electricity,mar_may_we6,0.0158948992855959
argentina,fuel_electricity,sep_nov_wd0,0.0411120955292874
argentina,fuel_electricity,sep_nov_wd12,0.0448462043675245
argentina,fuel_electricity,sep_nov_wd18,0.0427666156904193
argentina,fuel_electricity,sep_nov_wd6,0.0408289010101819
argentina,fuel_electricity,sep_nov_we0,0.0156775055946783
argentina,fuel_electricity,sep_nov_we12,0.0171014542270437
argentina,fuel_electricity,sep_nov_we18,0.0163084330321809
argentina,fuel_electricity,sep_nov_we6,0.0155695134429649
armenia,fuel_electricity,dec_feb_wd0,0.0457887732199526
armenia,fuel_electricity,dec_feb_wd12,0.0499476529990401
