r,l,pp_hydropower,pp_solar,pp_biogas,pp_biomass,pp_coal,pp_gas,pp_geothermal,pp_nuclear,pp_ocean,pp_oil,pp_waste_incineration,pp_wind
armenia,dec_feb_wd12,0.238620735,0.406654083,0.7,0.7,0.8,0.8,0.67,0.9,0.4,0.8,0.7,0.26
armenia,dec_feb_wd18,0.238620735,0.037454981,0.7,0.7,0.8,0.8,0.67,0.9,0.4,0.8,0.7,0.26
armenia,dec_feb_wd6,0.238620735,0.021402846,0.7,0.7,0.8,0.8,0.67,0.9,0.4,0.8,0.7,0.26
armenia,dec_feb_we0,0.238620735,0.0,0.7,0.7,0.8,0.8,0.67,0.9,0.4,0.8,0.7,0.26
armenia,dec_feb_we12,0.238620735,0.406654083,0.7,0.7,0.8,0.8,0.67,0.9,0.4,0.8,0.7,0.26
armenia,dec_feb_we18,0.238620735,0.037454981,0.7,0.7,0.8,0.8,0.67,0.9,0.4,0.8,0.7,0.26
armenia,dec_feb_we6,0.238620735,0.021402846,0.7,0.7,0.8,0.8,0.67,0.9,0.4,0.8,0.7,0.26
armenia,jun_aug_wd0,0.098547609,0.0,0.7,0.7,0.8,0.8,0.67,0.9,0.4,0.8,0.7,0.26
armenia,jun_aug_wd12,0.098547609,0.472586555,0.7,0.7,0.8,0.8,0.67,0.9,0.4,0.8,0.7,0.26
armenia,jun_aug_wd18,0.098547609,0.196911065,0.7,0.7,0.8,0.8,0.67,0.9,0.4,0.8,0.7,0.26
armenia,jun_aug_wd6,0.098547609,0.213789156,0.7,0.7,0.8,0.8,0.67,0.9,0.4,0.8,0.7,0.26
armenia,jun_aug_we0,0.098547609,0.0,0.7,0.7,0.8,0.8,0.67,0.9,0.4,0.8,0.7,0.26
armenia,jun_aug_we12,0.098547609,0.472586555,0.7,0.7,0.8,0.8,0.67,0.9,0.4,0.8,0.7,0.26
armenia,jun_aug_we18,0.098547609,0.196911065,0.7,0.7,0.8,0.8,0.67,0.9,0.4,0.8,0.7,0.26
armenia,jun_aug_we6,0.098547609,0.213789156,0.7,0.7,0.8,0.8,0.67,0.9,0.4,0.8,0.7,0.26
armenia,mar_may_wd0,0.584288791,0.0,0.7,0.7,0.8,0.8,0.67,0.9,0.4,0.8,0.7,0.26
armenia,mar_may_wd12,0.584288791,0.460597051,0.7,0.7,0.8,0.8,0.67,0.9,0.4,0.8,0.7,0.26
armenia,mar_may_wd18,0.584288791,0.115149263,0.7,0.7,0.8,0.8,0.67,0.9,0.4,0.8,0.7,0.26
armenia,mar_may_wd6,0.584288791,0.131599157,0.7,0.7,0.8,0.8,0.67,0.9,0.4,0.8,0.7,0.26
armenia,mar_may_we0,0.584288791,0.0,0.7,0.7,0.8,0.8,0.67,0.9,0.4,0.8,0.7,0.26
armenia,mar_may_we12,0.584288791,0.460597051,0.7,0.7,0.8,0.8,0.67,0.9,0.4,0.8,0.7,0.26
armenia,mar_may_we18,0.584288791,0.115149263,0.7,0.7,0.8,0.8,0.67,0.9,0.4,0.8,0.7,0.26
armenia,mar_may_we6,0.584288791,0.131599157,0.7,0.7,0.8,0.8,0.67,0.9,0.4,0.8,0.7,0.26
armenia,sep_nov_wd0,0.174512246,0.0,0.7,0.7,0.8,0.8,0.67,0.9,0.4,0.8,0.7,0.26
armenia,sep_nov_wd12,0.174512246,0.549759696,0.7,0.7,0.8,0.8,0.67,0.9,0.4,0.8,0.7,0.26
armenia,sep_nov_wd18,0.174512246,0.046930706,0.7,0.7,0.8,0.8,0.67,0.9,0.4,0.8,0.7,0.26
armenia,sep_nov_wd6,0.174512246,0.080452638,0.7,0.7,0.8,0.8,0.67,0.9,0.4,0.8,0.7,0.26
armenia,sep_nov_we0,0.174512246,0.0,0.7,0.7,0.8,0.8,0.67,0.9,0.4,0.8,0.7,0.26
armenia,sep_nov_we12,0.174512246,0.549759696,0.7,0.7,0.8,0.8,0.67,0.9,0.4,0.8,0.7,0.26
armenia,sep_nov_we18,0.174512246,0.046930706,0.7,0.7,0.8,0.8,0.67,0.9,0.4,0.8,0.7,0.26
armenia,sep_nov_we6,0.174512246,0.080452638,0.7,0.7,0.8,0.8,0.67,0.9,0.4,0.8,0.7,0.26
australia,dec_feb_wd0,0.15196756,0.0,0.7,0.7,0.8,0.8,0.67,0.9,0.4,0.8,0.7,0.26
