year,iso_code3,elasticity_ippu_cement_production_to_gdp,elasticity_ippu_chemicals_production_to_gdp,elasticity_ippu_electronics_production_to_gdp,elasticity_ippu_glass_production_to_gdp,elasticity_ippu_lime_and_carbonite_production_to_gdp,elasticity_ippu_metals_production_to_gdp,elasticity_ippu_mining_production_to_gdp,elasticity_ippu_paper_production_to_gdp,elasticity_ippu_plastic_production_to_gdp,elasticity_ippu_rubber_and_leather_production_to_gdp,elasticity_ippu_textiles_production_to_gdp
2038,BIH,1.4,1.2836529073422636,1.4,0.63837015558208,0.4,1.4,1.4,0.4,1.4,0.8660031528658063,0.8675935987070784
2039,BIH,1.3666666666666667,1.2600151650637417,1.3666666666666667,0.6685059759502399,0.45000000000000007,1.3666666666666667,1.3666666666666667,0.45000000000000007,1.3666666666666667,0.8771695567936558,0.8786274654814885
2040,BIH,1.3333333333333335,1.2363774227852198,1.3333333333333335,0.6986417963184,0.5,1.3333333333333335,1.3333333333333335,0.5,1.3333333333333335,0.8883359607215053,0.8896613322558986
2041,BIH,1.3,1.2127396805066977,1.3,0.72877761668656,0.55,1.3,1.3,0.55,1.3,0.8995023646493547,0.9006951990303087
2042,BIH,1.2666666666666666,1.1891019382281758,1.2666666666666666,0.7589134370547199,0.6000000000000001,1.2666666666666666,1.2666666666666666,0.6000000000000001,1.2666666666666666,0.9106687685772042,0.9117290658047189
2043,BIH,1.2333333333333334,1.165464195949654,1.2333333333333334,0.78904925742288,0.6500000000000001,1.2333333333333334,1.2333333333333334,0.6500000000000001,1.2333333333333334,0.9218351725050538,0.9227629325791291
2044,BIH,1.2,1.1418264536711318,1.2,0.8191850777910401,0.7000000000000002,1.2,1.2,0.7000000000000002,1.2,0.9330015764329032,0.9337967993535392
2045,BIH,1.1666666666666665,1.11818871139261,1.1666666666666665,0.8493208981592,0.75,1.1666666666666665,1.1666666666666665,0.75,1.1666666666666665,0.9441679803607527,0.9448306661279493
2046,BIH,1.1333333333333333,1.094550969114088,1.1333333333333333,0.8794567185273601,0.8,1.1333333333333333,1.1333333333333333,0.8,1.1333333333333333,0.9553343842886022,0.9558645329023594
2047,BIH,1.1,1.070913226835566,1.1,0.9095925388955202,0.8500000000000001,1.1,1.1,0.8500000000000001,1.1,0.9665007882164516,0.9668983996767695
2048,BIH,1.0666666666666667,1.047275484557044,1.0666666666666667,0.93972835926368,0.9000000000000001,1.0666666666666667,1.0666666666666667,0.9000000000000001,1.0666666666666667,0.9776671921443011,0.9779322664511797
2049,BIH,1.0333333333333332,1.0236377422785221,1.0333333333333332,0.9698641796318401,0.9500000000000002,1.0333333333333332,1.0333333333333332,0.9500000000000002,1.0333333333333332,0.9888335960721506,0.9889661332255899
2050,BIH,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2010,BLR,-1.937976542465896,-3.0879405252164185,-4.538424232107033,-3.030767123013434,-0.7920263293650283,-3.637129067760279,-6.1945218169179475,-2.5987314706552573,-4.507754715056728,-5.376086263875037,-3.9844248096037824
2011,BLR,10.960134851275786,-0.09070562467321906,14.624064562587966,-0.7768612042491305,6.67677666085153,8.461288405266657,25.01601358581104,3.7926698650537753,8.99829375693572,8.256369462697146,8.093558708336205
2012,BLR,14.575605115431692,3.989284575911455,5.832549601007306,10.243361991092835,0.7612472496653374,6.058121955442985,-1.4579557289374845,7.782597555204894,8.862137596638,6.1588962224888855,7.8667633687109975
