Category Name,``$REGION$``,ISO Alpha 3,FAO Area Code,Latitude Population Centroid 2020,Longitude Population Centroid 2020,World Bank Global Region,UN Sub-Region,UN Region
"Macao SAR, China",macao,MAC,128,22.194383646423976,113.548860440226,East Asia & Pacific,Eastern Asia,Asia
Madagascar,madagascar,MDG,129,-19.36377612601581,47.2598815931411,Sub-Saharan Africa,Sub-Saharan Africa,Africa
Malawi,malawi,MWI,130,-14.186612808369562,34.415460021765895,Sub-Saharan Africa,Sub-Saharan Africa,Africa
Malaysia,malaysia,MYS,131,3.8268748630935367,104.63022980257728,East Asia & Pacific,South-eastern Asia,Asia
Maldives,maldives,MDV,132,3.855041476121828,73.28911118332307,South Asia,Southern Asia,Asia
Mali,mali,MLI,133,13.410013967016996,-6.440243238541264,Sub-Saharan Africa,Sub-Saharan Africa,Africa
Malta,malta,MLT,134,35.89939091116914,14.456537366120283,Middle East & North Africa,Southern Europe,Europe
Marshall Islands,marshall_islands,MHL,127,7.695264101544946,169.96824237305373,East Asia & Pacific,Micronesia,Oceania
Mauritania,mauritania,MRT,136,17.1719080765998,-12.957029914631798,Sub-Saharan Africa,Sub-Saharan Africa,Africa
Mauritius,mauritius,MUS,137,-20.21857904701184,57.75842526839687,Sub-Saharan Africa,Sub-Saharan Africa,Africa
Mexico,mexico,MEX,138,21.33784027997883,-100.17555842276116,Latin America & Caribbean,Latin America and the Caribbean,Americas
Micronesia (Federated States of),micronesia,FSM,145,7.2013391546941685,153.37681276200396,East Asia & Pacific,Micronesia,Oceania
Monaco,monaco,MCO,140,43.7369881872716,7.425318970170054,Europe & Central Asia,Western Europe,Europe
Mongolia,mongolia,MNG,141,47.845425533605614,105.09029153899014,East Asia & Pacific,Eastern Asia,Asia
Montenegro,montenegro,MNE,273,42.59513910128211,19.25243704185249,Europe & Central Asia,Southern Europe,Europe
Morocco,morocco,MAR,143,33.18130911200406,-6.635732875898339,Middle East & North Africa,Northern Africa,Africa
Mozambique,mozambique,MOZ,144,-17.858461862135865,35.961991391453694,Sub-Saharan Africa,Sub-Saharan Africa,Africa
Myanmar,myanmar,MMR,28,19.502701317730946,96.14977473525686,East Asia & Pacific,South-eastern Asia,Asia
Namibia,namibia,NAM,147,-20.043482254798377,17.0100563426623,Sub-Saharan Africa,Sub-Saharan Africa,Africa
Nauru,nauru,NRU,148,-0.5300156558690314,166.92817233776333,East Asia & Pacific,Micronesia,Oceania
Nepal,nepal,NPL,149,27.55647887227793,84.73982051406095,South Asia,Southern Asia,Asia
Netherlands,netherlands,NLD,150,52.09617978868971,5.290960196931464,Europe & Central Asia,Western Europe,Europe
New Caledonia,new_caledonia,NCL,153,-21.9207126634065,166.22508755867264,East Asia & Pacific,Melanesia,Oceania
New Zealand,new_zealand,NZL,156,-39.43756585708045,174.27500788955126,East Asia & Pacific,Australia and New Zealand,Oceania
Nicaragua,nicaragua,NIC,157,12.632085750281233,-85.83943160752972,Latin America & Caribbean,Latin America and the Caribbean,Americas
Niger,niger,NER,158,14.047299288737843,6.077812939201381,Sub-Saharan Africa,Sub-Saharan Africa,Africa
Nigeria,nigeria,NGA,159,8.655210773516673,7.221360221454598,Sub-Saharan Africa,Sub-Saharan Africa,Africa
North Macedonia,north_macedonia,MKD,154,41.72826172295012,21.5182438640745,Europe & Central Asia,Southern Europe,Europe
