ISO_A3,kcc,count
THA,130.0,88148
THA,321.0,12217
THA,322.0,510
THA,332.0,2
TJK,212.0,983
TJK,222.0,26665
TJK,311.0,32686
TJK,312.0,1908
TJK,411.0,1928
TJK,412.0,30059
TJK,413.0,33675
TJK,423.0,357
TJK,433.0,4811
TJK,510.0,77769
TJK,520.0,793
TKM,211.0,2010
TKM,212.0,506371
TKM,221.0,3045
TKM,222.0,179538
TKM,311.0,12657
TKM,312.0,53
TKM,411.0,1944
TKM,412.0,824
TKM,413.0,7
TLS,120.0,16354
TLS,130.0,551
TLS,221.0,38
TLS,322.0,833
TON,110.0,696
TTO,110.0,3078
TTO,120.0,430
TTO,130.0,2571
TUN,211.0,146833
TUN,212.0,1051
TUN,221.0,23204
TUN,222.0,18795
TUN,311.0,30384
TUN,331.0,69
TUR,221.0,3340
TUR,222.0,40287
TUR,311.0,487108
TUR,312.0,259205
TUR,331.0,28381
TUR,332.0,53758
TUR,411.0,21643
TUR,412.0,220451
TUR,413.0,4663
TUR,431.0,667
TUR,432.0,40150
TUR,433.0,9119
TUR,510.0,189
TUV,110.0,18
TUV,211.0,2
TZA,110.0,83
TZA,120.0,815613
TZA,130.0,15814
TZA,211.0,13
TZA,221.0,146355
TZA,311.0,2
TZA,312.0,118
TZA,321.0,29781
TZA,322.0,97590
TZA,323.0,90
TZA,331.0,536
TZA,332.0,2455
TZA,333.0,13
TZA,510.0,516
TZA,520.0,19
UGA,110.0,17900
UGA,120.0,234697
UGA,130.0,21771
UGA,221.0,1004
UGA,312.0,1907
UGA,322.0,6
UGA,332.0,5202
UGA,333.0,30
UGA,510.0,473
UKR,222.0,960
UKR,331.0,160213
UKR,332.0,14555
UKR,431.0,197726
UKR,432.0,682453
UKR,433.0,4113
URY,331.0,241352
URY,332.0,4537
USA,110.0,4682
USA,120.0,18847
USA,130.0,9038
USA,211.0,232484
USA,212.0,357073
USA,221.0,163107
USA,222.0,2351722
USA,311.0,176798
USA,312.0,612233
USA,313.0,10733
USA,321.0,1391
USA,322.0,1298
USA,331.0,3590739
USA,332.0,272827
USA,333.0,109881
USA,411.0,6186
USA,412.0,227518
USA,413.0,145770
USA,421.0,66967
USA,422.0,16398
USA,423.0,98111
USA,431.0,1130835
USA,432.0,2378214
USA,433.0,2934179
USA,510.0,1147898
USA,520.0,1376
UZB,211.0,29
UZB,212.0,457719
UZB,222.0,145708
UZB,311.0,62357
UZB,312.0,3331
UZB,411.0,3148
UZB,412.0,16782
UZB,413.0,7775
UZB,510.0,1809
VCT,110.0,439
VEN,110.0,253332
VEN,120.0,539999
VEN,130.0,227111
VEN,211.0,638
VEN,221.0,25563
VEN,312.0,289
VEN,322.0,4360
VEN,323.0,30
VEN,332.0,20285
VEN,333.0,42
VEN,510.0,2608
VGB,120.0,173
VGB,130.0,4
VIR,120.0,427
VIR,130.0,5
VNM,110.0,4858
VNM,120.0,143368
VNM,130.0,66713
VNM,321.0,170384
VNM,322.0,16237
VNM,331.0,296
VUT,110.0,12931
VUT,120.0,475
VUT,130.0,1105
VUT,331.0,43
VUT,332.0,177
WSM,110.0,3137
WSM,332.0,94
XKX,331.0,2375
XKX,332.0,12379
XKX,432.0,1645
XKX,433.0,628
XKX,510.0,6
YEM,211.0,508545
YEM,212.0,25009
YEM,221.0,9688
YEM,222.0,7104
YEM,321.0,19
YEM,322.0,32
ZAF,110.0,2
ZAF,120.0,3888
ZAF,130.0,6
ZAF,211.0,263811
ZAF,212.0,173197
ZAF,221.0,267698
ZAF,222.0,429585
ZAF,311.0,9670
ZAF,312.0,25728
ZAF,321.0,31784
ZAF,322.0,223477
ZAF,323.0,487
ZAF,331.0,50599
ZAF,332.0,147885
ZAF,333.0,5
ZAF,510.0,598
ZMB,120.0,201972
ZMB,221.0,46189
ZMB,321.0,649270
ZMB,322.0,7064
ZWE,120.0,4944
ZWE,211.0,12954
ZWE,221.0,300763
ZWE,222.0,151
ZWE,321.0,99601
ZWE,322.0,62805
