Variable Type,Variable,Information,Variable Schema,Dashboard,Categories,Notes,Data Link,Reference,Emission Factor,Internal Model Variable,Default LHS Scalar Minimum at Final Time Period,Default LHS Scalar Maximum at Final Time Period,Emissions Total by Gas Component,Simplex Group
Output,Other Fluorinated Compound Emissions from Industrial Product Use," | Aggregate emissions, across all specified non-PFC/HFC flourinated compounds (including HCFCs, halogenated alcohols, ethers, furans, aldehydes, and ketones, where applicable), resulting from industrial production processes. 
 | 
 | Includes HCFC-141b and HCFC-142b",``emission_co2e_other_fcs_ippu_product_use_$CAT-INDUSTRY$``,,``product_use_ods_other``,,,,0,1,1,1,0,
Output,Other Fluorinated Compound Emissions from Industrial Production Processes," | Aggregate emissions, across all specified non-PFC/HFC flourinated compounds (including halogenated alcohols, ethers, furans, aldehydes, and ketones, where applicable), resulting from industrial production processes. 
 | 
 | Includes Dodecafluoropentane,:math:`\text{NF}_3`, and Octafluorooxolane.",``emission_co2e_other_fcs_ippu_production_$CAT-INDUSTRY$``,,``chemicals``|``electronics``,,,,0,1,1,1,0,
Output,PFC Emissions from Industrial Product Use,"Aggregate emissions, across all specified PFCs, resulting from product use in industry.",``emission_co2e_pfcs_ippu_product_use_$CAT-INDUSTRY$``,,``product_use_ods_other``,,,,0,1,1,1,0,
Output,PFC Emissions from Industrial Production Processes,"Aggregate emissions, across all specified PFCs, resulting from industrial production processes. ",``emission_co2e_pfcs_ippu_production_$CAT-INDUSTRY$``,,``chemicals``|``electronics``|``other_product_manufacturing``,,,,0,1,1,1,0,
Output,PFC-1114 Emissions from Industrial Production Processes, | Used in calibration to key industrial subsectors using data from `Minx et al. (2021) <https://doi.org/10.5194/essd-13-5213-2021>`_,``emission_co2e_$EMISSION-GAS$_ippu_production_$CAT-INDUSTRY$`` (``$EMISSION-GAS$ = c4f6``),,``electronics``,,,,0,1,1,1,1,
Output,PFC-116 Emissions from Industrial Product Use, | Used in calibration to key industrial subsectors using data from `Minx et al. (2021) <https://doi.org/10.5194/essd-13-5213-2021>`_,``emission_co2e_$EMISSION-GAS$_ippu_product_use_$CAT-INDUSTRY$`` (``$EMISSION-GAS$ = c2f6``),,``product_use_ods_other``,,,,0,1,1,1,1,
Output,PFC-116 Emissions from Industrial Production Processes, | Used in calibration to key industrial subsectors using data from `Minx et al. (2021) <https://doi.org/10.5194/essd-13-5213-2021>`_,``emission_co2e_$EMISSION-GAS$_ippu_production_$CAT-INDUSTRY$`` (``$EMISSION-GAS$ = c2f6``),,``chemicals``|``electronics``|``metals``,,,,0,1,1,1,1,
Output,PFC-14 Emissions from Industrial Product Use, | Used in calibration to key industrial subsectors using data from `Minx et al. (2021) <https://doi.org/10.5194/essd-13-5213-2021>`_,``emission_co2e_$EMISSION-GAS$_ippu_product_use_$CAT-INDUSTRY$`` (``$EMISSION-GAS$ = cf4``),,``product_use_ods_other``,,,,0,1,1,1,1,
Output,PFC-14 Emissions from Industrial Production Processes, | Used in calibration to key industrial subsectors using data from `Minx et al. (2021) <https://doi.org/10.5194/essd-13-5213-2021>`_,``emission_co2e_$EMISSION-GAS$_ippu_production_$CAT-INDUSTRY$`` (``$EMISSION-GAS$ = cf4``),,``chemicals``|``electronics``|``metals``,,,,0,1,1,1,1,
Output,PFC-1418 Emissions from Industrial Production Processes, | Used in calibration to key industrial subsectors using data from `Minx et al. (2021) <https://doi.org/10.5194/essd-13-5213-2021>`_,``emission_co2e_$EMISSION-GAS$_ippu_production_$CAT-INDUSTRY$`` (``$EMISSION-GAS$ = c5f8``),,``electronics``,,,,0,1,1,1,1,
Output,PFC-218 Emissions from Industrial Production Processes, | Used in calibration to key industrial subsectors using data from `Minx et al. (2021) <https://doi.org/10.5194/essd-13-5213-2021>`_,``emission_co2e_$EMISSION-GAS$_ippu_production_$CAT-INDUSTRY$`` (``$EMISSION-GAS$ = c3f8``),,``chemicals``|``electronics``,,,,0,1,1,1,1,
Output,PFC-31-10 Emissions from Industrial Product Use, | Used in calibration to key industrial subsectors using data from `Minx et al. (2021) <https://doi.org/10.5194/essd-13-5213-2021>`_,``emission_co2e_$EMISSION-GAS$_ippu_product_use_$CAT-INDUSTRY$`` (``$EMISSION-GAS$ = c4f10``),,``product_use_ods_other``,,,,0,1,1,1,1,
