r,l,pp_hydropower,pp_solar,pp_biogas,pp_biomass,pp_coal,pp_gas,pp_geothermal,pp_nuclear,pp_ocean,pp_oil,pp_waste_incineration,pp_wind
argentina,mar_may_we6,0.35186887350738444,0.08437914334911754,0.5,0.37,0.36,0.36,0.67,0.8,0.25,0.36,0.5,0.26
argentina,sep_nov_wd0,0.4464639752003057,0.0,0.5,0.37,0.36,0.36,0.67,0.8,0.25,0.36,0.5,0.26
argentina,sep_nov_wd12,0.4464639752003057,0.5446744186046513,0.5,0.37,0.36,0.36,0.67,0.8,0.25,0.36,0.5,0.26
argentina,sep_nov_wd18,0.4464639752003057,0.13616860465116282,0.5,0.37,0.36,0.36,0.67,0.8,0.25,0.36,0.5,0.26
argentina,sep_nov_wd6,0.4464639752003057,0.15562126245847183,0.5,0.37,0.36,0.36,0.67,0.8,0.25,0.36,0.5,0.26
argentina,sep_nov_we0,0.4464639752003057,0.0,0.5,0.37,0.36,0.36,0.67,0.8,0.25,0.36,0.5,0.26
argentina,sep_nov_we12,0.4464639752003057,0.5446744186046513,0.5,0.37,0.36,0.36,0.67,0.8,0.25,0.36,0.5,0.26
argentina,sep_nov_we18,0.4464639752003057,0.13616860465116282,0.5,0.37,0.36,0.36,0.67,0.8,0.25,0.36,0.5,0.26
argentina,sep_nov_we6,0.4464639752003057,0.15562126245847183,0.5,0.37,0.36,0.36,0.67,0.8,0.25,0.36,0.5,0.26
armenia,dec_feb_wd0,0.23862073487601132,0.0,0.5,0.37,0.36,0.36,0.67,0.8,0.25,0.36,0.5,0.26
armenia,dec_feb_wd12,0.23862073487601132,0.4066540834845735,0.5,0.37,0.36,0.36,0.67,0.8,0.25,0.36,0.5,0.26
armenia,dec_feb_wd18,0.23862073487601132,0.03745498137357913,0.5,0.37,0.36,0.36,0.67,0.8,0.25,0.36,0.5,0.26
armenia,dec_feb_wd6,0.23862073487601132,0.02140284649918809,0.5,0.37,0.36,0.36,0.67,0.8,0.25,0.36,0.5,0.26
armenia,dec_feb_we0,0.23862073487601132,0.0,0.5,0.37,0.36,0.36,0.67,0.8,0.25,0.36,0.5,0.26
armenia,dec_feb_we12,0.23862073487601132,0.4066540834845735,0.5,0.37,0.36,0.36,0.67,0.8,0.25,0.36,0.5,0.26
armenia,dec_feb_we18,0.23862073487601132,0.03745498137357913,0.5,0.37,0.36,0.36,0.67,0.8,0.25,0.36,0.5,0.26
armenia,dec_feb_we6,0.23862073487601132,0.02140284649918809,0.5,0.37,0.36,0.36,0.67,0.8,0.25,0.36,0.5,0.26
armenia,jun_aug_wd0,0.09854760928924454,0.0,0.5,0.37,0.36,0.36,0.67,0.8,0.25,0.36,0.5,0.26
armenia,jun_aug_wd12,0.09854760928924454,0.4725865549709221,0.5,0.37,0.36,0.36,0.67,0.8,0.25,0.36,0.5,0.26
armenia,jun_aug_wd18,0.09854760928924454,0.19691106457121751,0.5,0.37,0.36,0.36,0.67,0.8,0.25,0.36,0.5,0.26
armenia,jun_aug_wd6,0.09854760928924454,0.2137891558201791,0.5,0.37,0.36,0.36,0.67,0.8,0.25,0.36,0.5,0.26
armenia,jun_aug_we0,0.09854760928924454,0.0,0.5,0.37,0.36,0.36,0.67,0.8,0.25,0.36,0.5,0.26
armenia,jun_aug_we12,0.09854760928924454,0.4725865549709221,0.5,0.37,0.36,0.36,0.67,0.8,0.25,0.36,0.5,0.26
armenia,jun_aug_we18,0.09854760928924454,0.19691106457121751,0.5,0.37,0.36,0.36,0.67,0.8,0.25,0.36,0.5,0.26
armenia,jun_aug_we6,0.09854760928924454,0.2137891558201791,0.5,0.37,0.36,0.36,0.67,0.8,0.25,0.36,0.5,0.26
armenia,mar_may_wd0,0.5842887912509533,0.0,0.5,0.37,0.36,0.36,0.67,0.8,0.25,0.36,0.5,0.26
armenia,mar_may_wd12,0.5842887912509533,0.460597050893158,0.5,0.37,0.36,0.36,0.67,0.8,0.25,0.36,0.5,0.26
armenia,mar_may_wd18,0.5842887912509533,0.1151492627232895,0.5,0.37,0.36,0.36,0.67,0.8,0.25,0.36,0.5,0.26
armenia,mar_may_wd6,0.5842887912509533,0.1315991573980452,0.5,0.37,0.36,0.36,0.67,0.8,0.25,0.36,0.5,0.26
armenia,mar_may_we0,0.5842887912509533,0.0,0.5,0.37,0.36,0.36,0.67,0.8,0.25,0.36,0.5,0.26
armenia,mar_may_we12,0.5842887912509533,0.460597050893158,0.5,0.37,0.36,0.36,0.67,0.8,0.25,0.36,0.5,0.26
armenia,mar_may_we18,0.5842887912509533,0.1151492627232895,0.5,0.37,0.36,0.36,0.67,0.8,0.25,0.36,0.5,0.26
armenia,mar_may_we6,0.5842887912509533,0.1315991573980452,0.5,0.37,0.36,0.36,0.67,0.8,0.25,0.36,0.5,0.26
armenia,sep_nov_wd0,0.17451224565297066,0.0,0.5,0.37,0.36,0.36,0.67,0.8,0.25,0.36,0.5,0.26
armenia,sep_nov_wd12,0.17451224565297066,0.5497596960794982,0.5,0.37,0.36,0.36,0.67,0.8,0.25,0.36,0.5,0.26
armenia,sep_nov_wd18,0.17451224565297066,0.04693070576288398,0.5,0.37,0.36,0.36,0.67,0.8,0.25,0.36,0.5,0.26
armenia,sep_nov_wd6,0.17451224565297066,0.08045263845065828,0.5,0.37,0.36,0.36,0.67,0.8,0.25,0.36,0.5,0.26
armenia,sep_nov_we0,0.17451224565297066,0.0,0.5,0.37,0.36,0.36,0.67,0.8,0.25,0.36,0.5,0.26
armenia,sep_nov_we12,0.17451224565297066,0.5497596960794982,0.5,0.37,0.36,0.36,0.67,0.8,0.25,0.36,0.5,0.26
armenia,sep_nov_we18,0.17451224565297066,0.04693070576288398,0.5,0.37,0.36,0.36,0.67,0.8,0.25,0.36,0.5,0.26
armenia,sep_nov_we6,0.17451224565297066,0.08045263845065828,0.5,0.37,0.36,0.36,0.67,0.8,0.25,0.36,0.5,0.26
australia,dec_feb_wd0,0.15196755964383266,0.0,0.5,0.37,0.36,0.36,0.67,0.8,0.25,0.36,0.5,0.26
australia,dec_feb_wd12,0.15196755964383266,0.48075324177207834,0.5,0.37,0.36,0.36,0.67,0.8,0.25,0.36,0.5,0.26
australia,dec_feb_wd18,0.15196755964383266,0.200313850738366,0.5,0.37,0.36,0.36,0.67,0.8,0.25,0.36,0.5,0.26
australia,dec_feb_wd6,0.15196755964383266,0.1373580690777367,0.5,0.37,0.36,0.36,0.67,0.8,0.25,0.36,0.5,0.26
