time_period,ef_frst_sequestration_mangroves_kt_co2_ha,ef_frst_sequestration_primary_kt_co2_ha,ef_frst_sequestration_secondary_kt_co2_ha,iso_alpha_3
21,0.0034614289261328366,0.001711780260707635,0.004336253258845437,LCA
22,0.0034614289261328366,0.001711780260707635,0.004336253258845437,LCA
23,0.0034614289261328366,0.001711780260707635,0.004336253258845437,LCA
24,0.0034614289261328366,0.001711780260707635,0.004336253258845437,LCA
25,0.0034614289261328366,0.001711780260707635,0.004336253258845437,LCA
26,0.0034614289261328366,0.001711780260707635,0.004336253258845437,LCA
27,0.0034614289261328366,0.001711780260707635,0.004336253258845437,LCA
28,0.0034614289261328366,0.001711780260707635,0.004336253258845437,LCA
29,0.0034614289261328366,0.001711780260707635,0.004336253258845437,LCA
30,0.0034614289261328366,0.001711780260707635,0.004336253258845437,LCA
31,0.0034614289261328366,0.001711780260707635,0.004336253258845437,LCA
32,0.0034614289261328366,0.001711780260707635,0.004336253258845437,LCA
33,0.0034614289261328366,0.001711780260707635,0.004336253258845437,LCA
34,0.0034614289261328366,0.001711780260707635,0.004336253258845437,LCA
35,0.0034614289261328366,0.001711780260707635,0.004336253258845437,LCA
0,0.0028359346421750363,0.002073953544545556,0.0023889057315657418,LIE
1,0.0028359346421750363,0.002073953544545556,0.0023889057315657418,LIE
2,0.0028359346421750363,0.002073953544545556,0.0023889057315657418,LIE
3,0.0028359346421750363,0.002073953544545556,0.0023889057315657418,LIE
4,0.0028359346421750363,0.002073953544545556,0.0023889057315657418,LIE
5,0.0028359346421750363,0.002073953544545556,0.0023889057315657418,LIE
6,0.0028359346421750363,0.002073953544545556,0.0023889057315657418,LIE
7,0.0028359346421750363,0.002073953544545556,0.0023889057315657418,LIE
8,0.0028359346421750363,0.002073953544545556,0.0023889057315657418,LIE
9,0.0028359346421750363,0.002073953544545556,0.0023889057315657418,LIE
10,0.0028359346421750363,0.002073953544545556,0.0023889057315657418,LIE
11,0.0028359346421750363,0.002073953544545556,0.0023889057315657418,LIE
12,0.0028359346421750363,0.002073953544545556,0.0023889057315657418,LIE
13,0.0028359346421750363,0.002073953544545556,0.0023889057315657418,LIE
14,0.0028359346421750363,0.002073953544545556,0.0023889057315657418,LIE
15,0.0028359346421750363,0.002073953544545556,0.0023889057315657418,LIE
16,0.0028359346421750363,0.002073953544545556,0.0023889057315657418,LIE
17,0.0028359346421750363,0.002073953544545556,0.0023889057315657418,LIE
18,0.0028359346421750363,0.002073953544545556,0.0023889057315657418,LIE
19,0.0028359346421750363,0.002073953544545556,0.0023889057315657418,LIE
20,0.0028359346421750363,0.002073953544545556,0.0023889057315657418,LIE
21,0.0028359346421750363,0.002073953544545556,0.0023889057315657418,LIE
22,0.0028359346421750363,0.002073953544545556,0.0023889057315657418,LIE
23,0.0028359346421750363,0.002073953544545556,0.0023889057315657418,LIE
24,0.0028359346421750363,0.002073953544545556,0.0023889057315657418,LIE
25,0.0028359346421750363,0.002073953544545556,0.0023889057315657418,LIE
26,0.0028359346421750363,0.002073953544545556,0.0023889057315657418,LIE
27,0.0028359346421750363,0.002073953544545556,0.0023889057315657418,LIE
28,0.0028359346421750363,0.002073953544545556,0.0023889057315657418,LIE
29,0.0028359346421750363,0.002073953544545556,0.0023889057315657418,LIE
30,0.0028359346421750363,0.002073953544545556,0.0023889057315657418,LIE
31,0.0028359346421750363,0.002073953544545556,0.0023889057315657418,LIE
32,0.0028359346421750363,0.002073953544545556,0.0023889057315657418,LIE
33,0.0028359346421750363,0.002073953544545556,0.0023889057315657418,LIE
34,0.0028359346421750363,0.002073953544545556,0.0023889057315657418,LIE
35,0.0028359346421750363,0.002073953544545556,0.0023889057315657418,LIE
0,0.0044675501884783,1.5071930045823348e-05,0.004466654790431747,LSO
1,0.0044675501884783,1.5071930045823348e-05,0.004466654790431747,LSO
2,0.0044675501884783,1.5071930045823348e-05,0.004466654790431747,LSO
3,0.0044675501884783,1.5071930045823348e-05,0.004466654790431747,LSO
4,0.0044675501884783,1.5071930045823348e-05,0.004466654790431747,LSO
5,0.0044675501884783,1.5071930045823348e-05,0.004466654790431747,LSO
6,0.0044675501884783,1.5071930045823348e-05,0.004466654790431747,LSO
7,0.0044675501884783,1.5071930045823348e-05,0.004466654790431747,LSO
8,0.0044675501884783,1.5071930045823348e-05,0.004466654790431747,LSO
9,0.0044675501884783,1.5071930045823348e-05,0.004466654790431747,LSO
10,0.0044675501884783,1.5071930045823348e-05,0.004466654790431747,LSO
11,0.0044675501884783,1.5071930045823348e-05,0.004466654790431747,LSO
12,0.0044675501884783,1.5071930045823348e-05,0.004466654790431747,LSO
13,0.0044675501884783,1.5071930045823348e-05,0.004466654790431747,LSO
14,0.0044675501884783,1.5071930045823348e-05,0.004466654790431747,LSO
15,0.0044675501884783,1.5071930045823348e-05,0.004466654790431747,LSO
16,0.0044675501884783,1.5071930045823348e-05,0.004466654790431747,LSO
17,0.0044675501884783,1.5071930045823348e-05,0.004466654790431747,LSO
18,0.0044675501884783,1.5071930045823348e-05,0.004466654790431747,LSO
19,0.0044675501884783,1.5071930045823348e-05,0.004466654790431747,LSO
20,0.0044675501884783,1.5071930045823348e-05,0.004466654790431747,LSO
21,0.0044675501884783,1.5071930045823348e-05,0.004466654790431747,LSO
22,0.0044675501884783,1.5071930045823348e-05,0.004466654790431747,LSO
23,0.0044675501884783,1.5071930045823348e-05,0.004466654790431747,LSO
24,0.0044675501884783,1.5071930045823348e-05,0.004466654790431747,LSO
25,0.0044675501884783,1.5071930045823348e-05,0.004466654790431747,LSO
26,0.0044675501884783,1.5071930045823348e-05,0.004466654790431747,LSO
27,0.0044675501884783,1.5071930045823348e-05,0.004466654790431747,LSO
28,0.0044675501884783,1.5071930045823348e-05,0.004466654790431747,LSO
29,0.0044675501884783,1.5071930045823348e-05,0.004466654790431747,LSO
30,0.0044675501884783,1.5071930045823348e-05,0.004466654790431747,LSO
31,0.0044675501884783,1.5071930045823348e-05,0.004466654790431747,LSO
32,0.0044675501884783,1.5071930045823348e-05,0.004466654790431747,LSO
33,0.0044675501884783,1.5071930045823348e-05,0.004466654790431747,LSO
34,0.0044675501884783,1.5071930045823348e-05,0.004466654790431747,LSO
35,0.0044675501884783,1.5071930045823348e-05,0.004466654790431747,LSO
0,0.0039636666666666666,0.0039636666666666666,0.0039636666666666666,LUX
1,0.0039636666666666666,0.0039636666666666666,0.0039636666666666666,LUX
2,0.0039636666666666666,0.0039636666666666666,0.0039636666666666666,LUX
3,0.0039636666666666666,0.0039636666666666666,0.0039636666666666666,LUX
4,0.0039636666666666666,0.0039636666666666666,0.0039636666666666666,LUX
5,0.0039636666666666666,0.0039636666666666666,0.0039636666666666666,LUX
6,0.0039636666666666666,0.0039636666666666666,0.0039636666666666666,LUX
7,0.0039636666666666666,0.0039636666666666666,0.0039636666666666666,LUX
8,0.0039636666666666666,0.0039636666666666666,0.0039636666666666666,LUX
9,0.0039636666666666666,0.0039636666666666666,0.0039636666666666666,LUX
10,0.0039636666666666666,0.0039636666666666666,0.0039636666666666666,LUX
