iso_code3,year,time_period,frac_enfu_transmission_loss_fuel_electricity
ARM,2027,12,0.119833169621075
ARM,2028,13,0.119833169621075
ARM,2029,14,0.119833169621075
ARM,2030,15,0.119833169621075
ARM,2031,16,0.119833169621075
ARM,2032,17,0.119833169621075
ARM,2033,18,0.119833169621075
ARM,2034,19,0.119833169621075
ARM,2035,20,0.119833169621075
ARM,2036,21,0.119833169621075
ARM,2037,22,0.119833169621075
ARM,2038,23,0.119833169621075
ARM,2039,24,0.119833169621075
ARM,2040,25,0.119833169621075
ARM,2041,26,0.119833169621075
ARM,2042,27,0.119833169621075
ARM,2043,28,0.119833169621075
ARM,2044,29,0.119833169621075
ARM,2045,30,0.119833169621075
ARM,2046,31,0.119833169621075
ARM,2047,32,0.119833169621075
ARM,2048,33,0.119833169621075
ARM,2049,34,0.119833169621075
ARM,2050,35,0.119833169621075
ASM,2010,-5,0.0690584357740958
ASM,2011,-4,0.0674190140053504
ASM,2012,-3,0.06768480028917401
ASM,2013,-2,0.0667467874641768
ASM,2014,-1,0.0654407539363292
ASM,2015,0,0.06726995829382525
ASM,2016,1,0.06726995829382525
ASM,2017,2,0.06726995829382525
ASM,2018,3,0.06726995829382525
ASM,2019,4,0.06726995829382525
ASM,2020,5,0.06726995829382525
ASM,2021,6,0.06726995829382525
ASM,2022,7,0.06726995829382525
ASM,2023,8,0.06726995829382525
ASM,2024,9,0.06726995829382525
ASM,2025,10,0.06726995829382525
ASM,2026,11,0.06726995829382525
ASM,2027,12,0.06726995829382525
ASM,2028,13,0.06726995829382525
ASM,2029,14,0.06726995829382525
ASM,2030,15,0.06726995829382525
ASM,2031,16,0.06726995829382525
ASM,2032,17,0.06726995829382525
ASM,2033,18,0.06726995829382525
ASM,2034,19,0.06726995829382525
ASM,2035,20,0.06726995829382525
ASM,2036,21,0.06726995829382525
ASM,2037,22,0.06726995829382525
ASM,2038,23,0.06726995829382525
ASM,2039,24,0.06726995829382525
ASM,2040,25,0.06726995829382525
ASM,2041,26,0.06726995829382525
ASM,2042,27,0.06726995829382525
ASM,2043,28,0.06726995829382525
ASM,2044,29,0.06726995829382525
ASM,2045,30,0.06726995829382525
ASM,2046,31,0.06726995829382525
ASM,2047,32,0.06726995829382525
ASM,2048,33,0.06726995829382525
ASM,2049,34,0.06726995829382525
ASM,2050,35,0.06726995829382525
ATG,2010,-5,0.031231585150265202
ATG,2011,-4,0.027701778385772903
ATG,2012,-3,0.026171703898379303
ATG,2013,-2,0.0246186217780116
ATG,2014,-1,0.0230419403739262
ATG,2015,0,0.02655312591727104
ATG,2016,1,0.02655312591727104
ATG,2017,2,0.02655312591727104
ATG,2018,3,0.02655312591727104
ATG,2019,4,0.02655312591727104
ATG,2020,5,0.02655312591727104
ATG,2021,6,0.02655312591727104
ATG,2022,7,0.02655312591727104
ATG,2023,8,0.02655312591727104
ATG,2024,9,0.02655312591727104
ATG,2025,10,0.02655312591727104
ATG,2026,11,0.02655312591727104
ATG,2027,12,0.02655312591727104
ATG,2028,13,0.02655312591727104
ATG,2029,14,0.02655312591727104
ATG,2030,15,0.02655312591727104
ATG,2031,16,0.02655312591727104
ATG,2032,17,0.02655312591727104
ATG,2033,18,0.02655312591727104
ATG,2034,19,0.02655312591727104
ATG,2035,20,0.02655312591727104
ATG,2036,21,0.02655312591727104
ATG,2037,22,0.02655312591727104
ATG,2038,23,0.02655312591727104
ATG,2039,24,0.02655312591727104
ATG,2040,25,0.02655312591727104
ATG,2041,26,0.02655312591727104
ATG,2042,27,0.02655312591727104
ATG,2043,28,0.02655312591727104
ATG,2044,29,0.02655312591727104
ATG,2045,30,0.02655312591727104
ATG,2046,31,0.02655312591727104
ATG,2047,32,0.02655312591727104
ATG,2048,33,0.02655312591727104
ATG,2049,34,0.02655312591727104
ATG,2050,35,0.02655312591727104
AUS,2010,-5,0.0647731455644347
AUS,2011,-4,0.0651577152264412
AUS,2012,-3,0.0579870016088695
AUS,2013,-2,0.053400955849067205
AUS,2014,-1,0.0477958946927464
AUS,2015,0,0.057822942588311804
AUS,2016,1,0.057822942588311804
AUS,2017,2,0.057822942588311804
AUS,2018,3,0.057822942588311804
AUS,2019,4,0.057822942588311804
AUS,2020,5,0.057822942588311804
AUS,2021,6,0.057822942588311804
AUS,2022,7,0.057822942588311804
AUS,2023,8,0.057822942588311804
AUS,2024,9,0.057822942588311804
AUS,2025,10,0.057822942588311804
AUS,2026,11,0.057822942588311804
AUS,2027,12,0.057822942588311804
AUS,2028,13,0.057822942588311804
AUS,2029,14,0.057822942588311804
AUS,2030,15,0.057822942588311804
AUS,2031,16,0.057822942588311804
AUS,2032,17,0.057822942588311804
AUS,2033,18,0.057822942588311804
AUS,2034,19,0.057822942588311804
AUS,2035,20,0.057822942588311804
AUS,2036,21,0.057822942588311804
AUS,2037,22,0.057822942588311804
AUS,2038,23,0.057822942588311804
AUS,2039,24,0.057822942588311804
AUS,2040,25,0.057822942588311804
AUS,2041,26,0.057822942588311804
AUS,2042,27,0.057822942588311804
AUS,2043,28,0.057822942588311804
AUS,2044,29,0.057822942588311804
AUS,2045,30,0.057822942588311804
AUS,2046,31,0.057822942588311804
AUS,2047,32,0.057822942588311804
AUS,2048,33,0.057822942588311804
AUS,2049,34,0.057822942588311804
AUS,2050,35,0.057822942588311804
AUT,2010,-5,0.0493272882503606
AUT,2011,-4,0.0531057297019527
AUT,2012,-3,0.0488866249454228
AUT,2013,-2,0.0524864446165763
AUT,2014,-1,0.0532978447156583
AUT,2015,0,0.051420786445994134
AUT,2016,1,0.051420786445994134
AUT,2017,2,0.051420786445994134
AUT,2018,3,0.051420786445994134
AUT,2019,4,0.051420786445994134
AUT,2020,5,0.051420786445994134
AUT,2021,6,0.051420786445994134
AUT,2022,7,0.051420786445994134
AUT,2023,8,0.051420786445994134
AUT,2024,9,0.051420786445994134
AUT,2025,10,0.051420786445994134
AUT,2026,11,0.051420786445994134
AUT,2027,12,0.051420786445994134
AUT,2028,13,0.051420786445994134
AUT,2029,14,0.051420786445994134
AUT,2030,15,0.051420786445994134
AUT,2031,16,0.051420786445994134
AUT,2032,17,0.051420786445994134
AUT,2033,18,0.051420786445994134
AUT,2034,19,0.051420786445994134
AUT,2035,20,0.051420786445994134
AUT,2036,21,0.051420786445994134
AUT,2037,22,0.051420786445994134
AUT,2038,23,0.051420786445994134
AUT,2039,24,0.051420786445994134
AUT,2040,25,0.051420786445994134
AUT,2041,26,0.051420786445994134
AUT,2042,27,0.051420786445994134
AUT,2043,28,0.051420786445994134
AUT,2044,29,0.051420786445994134
AUT,2045,30,0.051420786445994134
AUT,2046,31,0.051420786445994134
AUT,2047,32,0.051420786445994134
AUT,2048,33,0.051420786445994134
AUT,2049,34,0.051420786445994134
AUT,2050,35,0.051420786445994134
AZE,2010,-5,0.20470336718332402
AZE,2011,-4,0.195772149403765
AZE,2012,-3,0.146511223246911
AZE,2013,-2,0.140489851845508
AZE,2014,-1,0.135999676480104
AZE,2015,0,0.1646952536319224
AZE,2016,1,0.1646952536319224
AZE,2017,2,0.1646952536319224
AZE,2018,3,0.1646952536319224
AZE,2019,4,0.1646952536319224
AZE,2020,5,0.1646952536319224
AZE,2021,6,0.1646952536319224
AZE,2022,7,0.1646952536319224
AZE,2023,8,0.1646952536319224
AZE,2024,9,0.1646952536319224
AZE,2025,10,0.1646952536319224
AZE,2026,11,0.1646952536319224
AZE,2027,12,0.1646952536319224
AZE,2028,13,0.1646952536319224
AZE,2029,14,0.1646952536319224
AZE,2030,15,0.1646952536319224
AZE,2031,16,0.1646952536319224
AZE,2032,17,0.1646952536319224
AZE,2033,18,0.1646952536319224
AZE,2034,19,0.1646952536319224
AZE,2035,20,0.1646952536319224
AZE,2036,21,0.1646952536319224
AZE,2037,22,0.1646952536319224
AZE,2038,23,0.1646952536319224
AZE,2039,24,0.1646952536319224
AZE,2040,25,0.1646952536319224
AZE,2041,26,0.1646952536319224
AZE,2042,27,0.1646952536319224
AZE,2043,28,0.1646952536319224
AZE,2044,29,0.1646952536319224
AZE,2045,30,0.1646952536319224
AZE,2046,31,0.1646952536319224
AZE,2047,32,0.1646952536319224
AZE,2048,33,0.1646952536319224
AZE,2049,34,0.1646952536319224
AZE,2050,35,0.1646952536319224
BDI,2010,-5,0.198331437239287
BDI,2011,-4,0.22756724916552099
BDI,2012,-3,0.18751118268026498
BDI,2013,-2,0.191886887729338
