year,time_period,iso_code3,nemomod_entc_frac_min_share_production_pp_biomass,nemomod_entc_frac_min_share_production_pp_coal,nemomod_entc_frac_min_share_production_pp_gas,nemomod_entc_frac_min_share_production_pp_geothermal,nemomod_entc_frac_min_share_production_pp_hydropower,nemomod_entc_frac_min_share_production_pp_nuclear,nemomod_entc_frac_min_share_production_pp_ocean,nemomod_entc_frac_min_share_production_pp_oil,nemomod_entc_frac_min_share_production_pp_solar,nemomod_entc_frac_min_share_production_pp_wind
2049,34,SUR,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9899999999999999,0.0
2050,35,SUR,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9899999999999999,0.0
2010,-5,SVK,0,0.14880574362231339,0.08045725775193378,0.0,0.2198765105119876,0.5039261811329736,0.0,0.021883180201002026,0.0006701144977340078,0.00023651099920023806
2011,-4,SVK,0,0.13864552125180682,0.10815588960199088,0.0,0.1377131966298408,0.5517761457415389,0.0,0.02012035799110709,0.015275809943067016,0.00019254446588188247
2012,-3,SVK,0,0.1312928875000763,0.0958982822868696,0.0,0.1544390132930064,0.553224253987017,0.0,0.01700825797855443,0.016276985421882533,0.00023033415612532803
2013,-2,SVK,0,0.12947195972017117,0.08786903118568302,0.0,0.17157651047788988,0.5399472170544762,0.0,0.0157525106864253,0.021710096101676086,0.00022153196962929614
2014,-1,SVK,0,0.11770667398094728,0.0567840167105159,0.0,0.16137981052754785,0.5796010029910948,0.0,0.010592228426784416,0.023996004049007393,0.0002411654658770159
2015,0,SVK,0,0.11778223315935546,0.05669950890007053,0.0,0.16114672855912754,0.5712756605474185,0.0,0.013573934216432552,0.020528721929554374,0.00024342406126756424
2016,1,SVK,0,0.11362643495734714,0.05298865522428774,0.0,0.18294088755710966,0.5522403035504367,0.0,0.01634168253070872,0.02143486545454487,0.00024129349722470253
2017,2,SVK,0,0.12071715756844993,0.05684618025387471,0.0,0.18086988923757447,0.5487168830534307,0.0,0.014970346936168487,0.019809515860347963,0.00023489590920552762
2018,3,SVK,0,0.12659659077069668,0.065594274103554,0.0,0.15334486082646345,0.5569711771618155,0.0,0.016213118216388864,0.023638137183875828,0.00024244247409829463
2019,4,SVK,0,0.0917819424552999,0.1041665670568839,0.0,0.1700049151299186,0.5384819341401477,0.0,0.01550623113066072,0.022386071372709412,0.0002280414740853251
2020,5,SVK,0,0.07541146456324029,0.1219921468152824,0.0,0.15877230843246062,0.5472473115541959,0.0,0.013953683572172302,0.025406131574807,0.0
2021,6,SVK,0,0.07297753886792174,0.14371671086475515,0.0,0.1499646126079973,0.5347490110556588,0.0,0.01326564754148757,0.024627071104574034,0.0
2022,7,SVK,0,0.07818661207939205,0.07366053264624503,0.0,0.13906280781530517,0.5891688859513263,0.0,0.01795697053750759,0.026123285573789658,8.00299785897399e-05
2023,8,SVK,0,0.11253867388438601,0.0849868502616882,0.0,0.16469938858509459,0.5513327667631946,0.0,0.01593370384349231,0.020144831543659245,0.00018401649624499343
2024,9,SVK,0,0.11253867388438601,0.0849868502616882,0.0,0.16469938858509459,0.5513327667631946,0.0,0.01593370384349231,0.020144831543659245,0.00018401649624499343
2025,10,SVK,0,0.11253867388438601,0.0849868502616882,0.0,0.16469938858509459,0.5513327667631946,0.0,0.01593370384349231,0.020144831543659245,0.00018401649624499343
2026,11,SVK,0,0.11253867388438601,0.0849868502616882,0.0,0.16469938858509459,0.5513327667631946,0.0,0.01593370384349231,0.020144831543659245,0.00018401649624499343
2027,12,SVK,0,0.11253867388438601,0.0849868502616882,0.0,0.16469938858509459,0.5513327667631946,0.0,0.01593370384349231,0.020144831543659245,0.00018401649624499343
