iso_code3,year,elasticity_scoe_enerdem_per_hh_residential_elec_appliances_to_gdppc,elasticity_scoe_enerdem_per_hh_residential_heat_energy_to_gdppc,elasticity_scoe_enerdem_per_mmmgdp_commercial_municipal_elec_appliances_to_gdppc,elasticity_scoe_enerdem_per_mmmgdp_commercial_municipal_heat_energy_to_gdppc,elasticity_scoe_enerdem_per_mmmgdp_other_se_elec_appliances_to_gdppc,elasticity_scoe_enerdem_per_mmmgdp_other_se_heat_energy_to_gdppc
TUN,2042,0.7333333333333333,0.7333333333333333,0.531124325813954,0.5311243258139517,1.0,1.0
TUN,2043,0.7666666666666666,0.7666666666666666,0.5451725168014492,0.5451725168014471,1.0,1.0
TUN,2044,0.8,0.8,0.5592207077889443,0.5592207077889424,1.0,1.0
TUN,2045,0.8333333333333334,0.8333333333333334,0.5732688987764395,0.5732688987764376,1.0,1.0
TUN,2046,0.8666666666666667,0.8666666666666667,0.5873170897639346,0.587317089763933,1.0,1.0
TUN,2047,0.9,0.9,0.6013652807514298,0.6013652807514283,1.0,1.0
TUN,2048,0.9333333333333333,0.9333333333333333,0.615413471738925,0.6154134717389236,1.0,1.0
TUN,2049,0.9666666666666667,0.9666666666666667,0.6294616627264202,0.6294616627264189,1.0,1.0
TUN,2050,1.0,1.0,0.6435098537139154,0.6435098537139142,1.0,1.0
TUR,2010,0.0,0.0,0.0,0.0,0.0,0.0
TUR,2011,-1.2177270754149692,-1.217727075414982,-1.3090059091069386,-1.3090059091069386,0.0,0.0
TUR,2012,-1.3446317134630754,-1.3446317134630705,-1.314812824575827,-1.3148128245758242,0.0,0.0
TUR,2013,-1.433121314182732,-1.4331213141827268,-1.320611961273797,-1.3206119612737943,0.0,0.0
TUR,2014,-0.051911023397625065,-0.05191102339764114,-0.5633753560766387,-0.5633753560766475,0.0,0.0
TUR,2015,0.9439520195109513,0.9439520195109513,-0.02483248500344857,-0.02483248500344857,0.0,0.0
TUR,2016,3.6349925662544598,3.634992566254443,1.1602158442553165,1.1602158442553165,0.0,0.0
TUR,2017,-6.423950341762638,-6.423950341762613,-3.421035400855677,-3.4210354008556654,0.0,0.0
TUR,2018,3.1110968155471226,3.111096815547107,1.0790973015881595,1.0790973015881515,0.0,0.0
TUR,2019,-2.9883943349592497,-2.988394334959194,-3.7107256812014837,-3.710725681201508,0.0,0.0
TUR,2020,-0.051911023397625065,-0.05191102339764114,-0.5,-0.5,1.0,1.0
TUR,2021,-0.016847322617704233,-0.01684732261771977,-0.45,-0.45,1.0,1.0
TUR,2022,0.0182163781622166,0.018216378162201605,-0.4,-0.4,1.0,1.0
TUR,2023,0.05328007894213744,0.05328007894212297,-0.35,-0.35,1.0,1.0
TUR,2024,0.08834377972205826,0.08834377972204435,-0.3,-0.3,1.0,1.0
TUR,2025,0.12340748050197908,0.12340748050196573,-0.25,-0.25,1.0,1.0
TUR,2026,0.15847118128189994,0.15847118128188709,-0.19999999999999996,-0.19999999999999996,1.0,1.0
TUR,2027,0.19353488206182076,0.19353488206180847,-0.14999999999999997,-0.14999999999999997,1.0,1.0
TUR,2028,0.2285985828417416,0.22859858284172985,-0.09999999999999998,-0.09999999999999998,1.0,1.0
TUR,2029,0.26366228362166244,0.26366228362165123,-0.04999999999999999,-0.04999999999999999,1.0,1.0
TUR,2030,0.29872598440158327,0.2987259844015726,0.0,0.0,1.0,1.0
TUR,2031,0.3337896851815041,0.333789685181494,0.050000000000000044,0.050000000000000044,1.0,1.0
TUR,2032,0.368853385961425,0.3688533859614153,0.10000000000000009,0.10000000000000009,1.0,1.0
TUR,2033,0.4039170867413458,0.4039170867413367,0.15000000000000002,0.15000000000000002,1.0,1.0
TUR,2034,0.4389807875212666,0.4389807875212581,0.20000000000000007,0.20000000000000007,1.0,1.0
TUR,2035,0.47404448830118745,0.47404448830117946,0.25,0.25,1.0,1.0
TUR,2036,0.5091081890811082,0.5091081890811009,0.30000000000000004,0.30000000000000004,1.0,1.0
TUR,2037,0.544171889861029,0.5441718898610222,0.3500000000000001,0.3500000000000001,1.0,1.0
TUR,2038,0.5792355906409499,0.5792355906409437,0.4,0.4,1.0,1.0
TUR,2039,0.6142992914208707,0.6142992914208649,0.45000000000000007,0.45000000000000007,1.0,1.0
TUR,2040,0.6493629922007915,0.6493629922007864,0.5,0.5,1.0,1.0
TUR,2041,0.6844266929807123,0.6844266929807077,0.55,0.55,1.0,1.0
TUR,2042,0.7194903937606332,0.7194903937606292,0.6000000000000001,0.6000000000000001,1.0,1.0
TUR,2043,0.754554094540554,0.7545540945405504,0.6500000000000001,0.6500000000000001,1.0,1.0
TUR,2044,0.7896177953204749,0.7896177953204717,0.7000000000000002,0.7000000000000002,1.0,1.0
TUR,2045,0.8246814961003958,0.8246814961003932,0.75,0.75,1.0,1.0
TUR,2046,0.8597451968803166,0.8597451968803145,0.8,0.8,1.0,1.0
TUR,2047,0.8948088976602374,0.894808897660236,0.8500000000000001,0.8500000000000001,1.0,1.0
TUR,2048,0.9298725984401582,0.9298725984401572,0.9000000000000001,0.9000000000000001,1.0,1.0
TUR,2049,0.9649362992200791,0.9649362992200787,0.9500000000000002,0.9500000000000002,1.0,1.0
TUR,2050,1.0,1.0,1.0,1.0,1.0,1.0
TUV,2010,0.0,0.0,0.0,0.0,0.0,0.0
TUV,2011,0.0,0.0,0.0,0.0,0.0,0.0
TUV,2012,0.0,0.0,0.0,0.0,0.0,0.0
TUV,2013,0.0,0.0,0.0,0.0,0.0,0.0
TUV,2014,0.0,0.0,0.0,0.0,0.0,0.0
TUV,2015,0.0,0.0,0.0,0.0,0.0,0.0
TUV,2016,0.0,0.0,0.0,0.0,0.0,0.0
TUV,2017,0.0,0.0,0.0,0.0,0.0,0.0
TUV,2018,0.0,0.0,0.0,0.0,0.0,0.0
TUV,2019,1.0,-1.0,1.0,1.0,0.0,0.0
TUV,2020,1.0,1.0,1.0,1.0,1.0,1.0
TUV,2021,1.0,1.0,1.0,1.0,1.0,1.0
TUV,2022,1.0,1.0,1.0,1.0,1.0,1.0
TUV,2023,1.0,1.0,1.0,1.0,1.0,1.0
TUV,2024,1.0,1.0,1.0,1.0,1.0,1.0
TUV,2025,1.0,1.0,1.0,1.0,1.0,1.0
TUV,2026,1.0,1.0,1.0,1.0,1.0,1.0
TUV,2027,1.0,1.0,1.0,1.0,1.0,1.0
TUV,2028,1.0,1.0,1.0,1.0,1.0,1.0
TUV,2029,1.0,1.0,1.0,1.0,1.0,1.0
TUV,2030,1.0,1.0,1.0,1.0,1.0,1.0
TUV,2031,1.0,1.0,1.0,1.0,1.0,1.0
TUV,2032,1.0,1.0,1.0,1.0,1.0,1.0
TUV,2033,1.0,1.0,1.0,1.0,1.0,1.0
TUV,2034,1.0,1.0,1.0,1.0,1.0,1.0
TUV,2035,1.0,1.0,1.0,1.0,1.0,1.0
TUV,2036,1.0,1.0,1.0,1.0,1.0,1.0
TUV,2037,1.0,1.0,1.0,1.0,1.0,1.0
TUV,2038,1.0,1.0,1.0,1.0,1.0,1.0
