qty_soil_organic_c_stock_dry_climate_tonne_per_ha,qty_soil_organic_c_stock_temperate_crop_grass_tonne_per_ha,qty_soil_organic_c_stock_temperate_forest_nutrient_poor_tonne_per_ha,qty_soil_organic_c_stock_temperate_forest_nutrient_rich_tonne_per_ha,qty_soil_organic_c_stock_tropical_crop_grass_tonne_per_ha,qty_soil_organic_c_stock_tropical_forest_tonne_per_ha,qty_soil_organic_c_stock_wet_climate_tonne_per_ha,iso_alpha_3,year,time_period
72.72073202549417,72.72073202549417,72.72073202549417,72.72073202549417,72.72073202549417,72.72073202549417,72.72073202549417,AUT,2013,-2
72.72073202549417,72.72073202549417,72.72073202549417,72.72073202549417,72.72073202549417,72.72073202549417,72.72073202549417,AUT,2014,-1
72.72073202549417,72.72073202549417,72.72073202549417,72.72073202549417,72.72073202549417,72.72073202549417,72.72073202549417,AUT,2015,0
72.72073202549417,72.72073202549417,72.72073202549417,72.72073202549417,72.72073202549417,72.72073202549417,72.72073202549417,AUT,2016,1
72.72073202549417,72.72073202549417,72.72073202549417,72.72073202549417,72.72073202549417,72.72073202549417,72.72073202549417,AUT,2017,2
72.72073202549417,72.72073202549417,72.72073202549417,72.72073202549417,72.72073202549417,72.72073202549417,72.72073202549417,AUT,2018,3
72.72073202549417,72.72073202549417,72.72073202549417,72.72073202549417,72.72073202549417,72.72073202549417,72.72073202549417,AUT,2019,4
72.72073202549417,72.72073202549417,72.72073202549417,72.72073202549417,72.72073202549417,72.72073202549417,72.72073202549417,AUT,2020,5
72.72073202549417,72.72073202549417,72.72073202549417,72.72073202549417,72.72073202549417,72.72073202549417,72.72073202549417,AUT,2021,6
72.72073202549417,72.72073202549417,72.72073202549417,72.72073202549417,72.72073202549417,72.72073202549417,72.72073202549417,AUT,2022,7
72.72073202549417,72.72073202549417,72.72073202549417,72.72073202549417,72.72073202549417,72.72073202549417,72.72073202549417,AUT,2023,8
72.72073202549417,72.72073202549417,72.72073202549417,72.72073202549417,72.72073202549417,72.72073202549417,72.72073202549417,AUT,2024,9
72.72073202549417,72.72073202549417,72.72073202549417,72.72073202549417,72.72073202549417,72.72073202549417,72.72073202549417,AUT,2025,10
72.72073202549417,72.72073202549417,72.72073202549417,72.72073202549417,72.72073202549417,72.72073202549417,72.72073202549417,AUT,2026,11
72.72073202549417,72.72073202549417,72.72073202549417,72.72073202549417,72.72073202549417,72.72073202549417,72.72073202549417,AUT,2027,12
72.72073202549417,72.72073202549417,72.72073202549417,72.72073202549417,72.72073202549417,72.72073202549417,72.72073202549417,AUT,2028,13
72.72073202549417,72.72073202549417,72.72073202549417,72.72073202549417,72.72073202549417,72.72073202549417,72.72073202549417,AUT,2029,14
72.72073202549417,72.72073202549417,72.72073202549417,72.72073202549417,72.72073202549417,72.72073202549417,72.72073202549417,AUT,2030,15
72.72073202549417,72.72073202549417,72.72073202549417,72.72073202549417,72.72073202549417,72.72073202549417,72.72073202549417,AUT,2031,16
72.72073202549417,72.72073202549417,72.72073202549417,72.72073202549417,72.72073202549417,72.72073202549417,72.72073202549417,AUT,2032,17
72.72073202549417,72.72073202549417,72.72073202549417,72.72073202549417,72.72073202549417,72.72073202549417,72.72073202549417,AUT,2033,18
